Treatment	Sample	Organism	Bin_Prefixed	Bin	Relative_Abundance	classification	domain	completeness	contamination	n50	size
ces	ces_1	Endophyte	ces_binette_bin6	binette_bin6	0.101655	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__	Bacteria	79.71	0.19	8522	3053491
ces	ces_3	Symbiont	ces_binette_bin1	binette_bin1	86.874269	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__	Bacteria	99.95	0.05	53908	7311114
ces	ces_3	Endophyte	ces_binette_bin2	binette_bin2	0.139618	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Cellvibrionaceae;g__Cellvibrio;s__Cellvibrio sp000263355	Bacteria	100	0.11	82987	4505973
ces	ces_3	Endophyte	ces_binette_bin3	binette_bin3	0.134665	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__	Bacteria	95.98	1.17	7925	2993746
ces	ces_3	Endophyte	ces_binette_bin4	binette_bin4	0.378786	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__	Bacteria	95.78	3.3	7147	3362438
ces	ces_3	Symbiont	ces_binette_bin5	binette_bin5	12.351593	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__	Bacteria	83	1.4	19046	7769520
ces	ces_3	Endophyte	ces_binette_bin6	binette_bin6	0.12107	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__	Bacteria	79.71	0.19	8522	3053491
carR	carR_1	Endophyte	carR_binette_bin1	binette_bin1	0.174482	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__	Bacteria	100	0.02	126067	3555749
carR	carR_1	Symbiont	carR_binette_bin2	binette_bin2	94.124048	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium algeriense	Bacteria	99.32	2.73	29832	9018450
carR	carR_1	Symbiont	carR_binette_bin3	binette_bin3	5.34606	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp036924515	Bacteria	85.93	0.02	12938	6319716
carR	carR_1	Endophyte	carR_binette_bin4	binette_bin4	0.003602	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Piscinibacter;s__	Bacteria	82.79	0.76	2227	4283448
carR	carR_1	Endophyte	carR_binette_bin5	binette_bin5	0.261017	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Cellvibrionaceae;g__Cellvibrio;s__Cellvibrio sp000263355	Bacteria	85.64	7.41	1939	9364715
carR	carR_1	Endophyte	carR_binette_bin6	binette_bin6	0.010891	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Neorhizobium;s__	Bacteria	77.25	3.92	2658	4419089
carR	carR_1	Endophyte	carR_binette_bin7	binette_bin7	0.076571	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Allorhizobium;s__Allorhizobium sp002855515	Bacteria	54.14	7.51	1417	3281792
carR	carR_1	Endophyte	carR_binette_bin8	binette_bin8	0.000567	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylophilus;s__	Bacteria	51.26	7.04	2115	1700679
carR	carR_1	Endophyte	carR_binette_bin9	binette_bin9	0.002762	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylophilus;s__	Bacteria	51.72	8.56	1226	1543179
carR	carR_5	Endophyte	carR_binette_bin1	binette_bin1	0.669352	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__;s__	Bacteria	100	0.02	126067	3555749
